,Bandeira,uf
0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Bandeira_do_Acre.svg/320px-Bandeira_do_Acre.svg.png,AC
1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bandeira_de_Alagoas.svg/320px-Bandeira_de_Alagoas.svg.png,AL
2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Bandeira_do_Amap%C3%A1.svg/320px-Bandeira_do_Amap%C3%A1.svg.png,AP
3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bandeira_do_Amazonas.svg/320px-Bandeira_do_Amazonas.svg.png,AM
4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bandeira_da_Bahia.svg/320px-Bandeira_da_Bahia.svg.png,BA
5,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bandeira_do_Cear%C3%A1.svg/320px-Bandeira_do_Cear%C3%A1.svg.png,CE
6,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg/320px-Bandeira_do_Distrito_Federal_%28Brasil%29.svg.png,DF
7,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg/320px-Bandeira_do_Esp%C3%ADrito_Santo.svg.png,ES
8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_Goi%C3%A1s.svg/320px-Flag_of_Goi%C3%A1s.svg.png,GO
9,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bandeira_do_Maranh%C3%A3o.svg/320px-Bandeira_do_Maranh%C3%A3o.svg.png,MA
10,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bandeira_de_Mato_Grosso.svg/320px-Bandeira_de_Mato_Grosso.svg.png,MT
11,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg/320px-Bandeira_de_Mato_Grosso_do_Sul.svg.png,MS
12,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bandeira_de_Minas_Gerais.svg/320px-Bandeira_de_Minas_Gerais.svg.png,MG
13,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bandeira_do_Par%C3%A1.svg/320px-Bandeira_do_Par%C3%A1.svg.png,PA
14,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bandeira_da_Para%C3%ADba.svg/320px-Bandeira_da_Para%C3%ADba.svg.png,PB
15,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bandeira_do_Paran%C3%A1.svg/320px-Bandeira_do_Paran%C3%A1.svg.png,PR
16,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Bandeira_de_Pernambuco.svg/320px-Bandeira_de_Pernambuco.svg.png,PE
17,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Bandeira_do_Piau%C3%AD.svg/320px-Bandeira_do_Piau%C3%AD.svg.png,PI
18,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg/320px-Bandeira_do_estado_do_Rio_de_Janeiro.svg.png,RJ
19,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bandeira_do_Rio_Grande_do_Norte.svg/320px-Bandeira_do_Rio_Grande_do_Norte.svg.png,RN
20,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bandeira_do_Rio_Grande_do_Sul.svg/320px-Bandeira_do_Rio_Grande_do_Sul.svg.png,RS
21,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Bandeira_de_Rond%C3%B4nia.svg/320px-Bandeira_de_Rond%C3%B4nia.svg.png,RO
22,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Bandeira_de_Roraima.svg/320px-Bandeira_de_Roraima.svg.png,RR
23,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Bandeira_de_Santa_Catarina.svg/320px-Bandeira_de_Santa_Catarina.svg.png,SC
24,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg/320px-Bandeira_do_estado_de_S%C3%A3o_Paulo.svg.png,SP
25,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Bandeira_de_Sergipe.svg/320px-Bandeira_de_Sergipe.svg.png,SE
26,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bandeira_do_Tocantins.svg/320px-Bandeira_do_Tocantins.svg.png,TO
